date,open,high,low,close,volume,simple_return,log_return,momentum,avg_price,range,ohlc,ema_10,ema_20,ema_50,ema_100,ema_200,macd,macd_signal,macd_hist,adx,plus_di,minus_di,rsi,stoch_k,stoch_d,cci,williams_r,bb_middle,bb_upper,bb_lower,bb_width,bb_position,atr
2002-01-23,0.88621,0.88891,0.87681,0.87811,0,-0.0091400458130692,-0.0091820723105504,-0.0025,0.88371,0.0052,0.884335,0.8865904734612822,0.8886506246936625,0.8913611449712083,0.8927791033628184,0.8939349270130547,-0.002218060689116,-0.0013856799513454,-0.0008323807377705,15.657180552431962,4.472477064220192,28.78440366972473,25.753424657534534,26.13636363636373,20.476827094474118,-46.09420013867193,-73.86363636363627,0.888725,0.9023660024326932,0.8750839975673068,0.0272820048653863,0.4078146927834177,0.0062285714285714
2002-01-24,0.87811,0.87921,0.87501,0.87821,0,0.0001138809488561,0.0001138744649131,0.0081000000000001,0.88286,0.0121,0.88251,0.8850485691955944,0.8876467556752184,0.8908414922272394,0.8924886260685052,0.8937774650527258,-0.0027742093238126,-0.0016633858258388,-0.0011108234979737,20.29378783289614,4.2904290429042975,32.34323432343225,23.857868020304775,5.652173913043333,15.988336045880734,-87.91678758534246,-94.34782608695669,0.888655,0.902507831745486,0.8748021682545141,0.0277056634909718,0.1193918978538005,0.0064928571428571
2002-01-25,0.87821,0.87851,0.86311,0.86511,0,-0.0149167055715603,-0.0150290785137738,-0.0001000000000001,0.8771100000000001,0.0042,0.877635,0.8838051929782136,0.8867480170394834,0.8903461395908772,0.8922058809978417,0.8936225649029474,-0.0031703461820642,-0.0019647778970839,-0.0012055682849802,25.312140110516047,4.377104377104379,31.088664421997592,26.760563380282093,13.061224489796253,14.949920679734438,-135.7494784269024,-86.93877551020375,0.8885299999999999,0.9027255663945992,0.8743344336054005,0.0283911327891988,0.1365062262001024,0.0063642857142857
2002-01-28,0.86511,0.86621,0.85721,0.86191,0,-0.003698951578412,-0.0037058096167261,0.0131,0.8708100000000001,0.0153999999999999,0.8712350000000001,0.8804060669821747,0.8846872535119135,0.8893564870579016,0.8916693288988745,0.8933388577894854,-0.0044895947612407,-0.0024697412699153,-0.0020198534913254,30.10687392443961,4.189044038668106,36.41245972073013,20.08456659619486,6.211180124223606,8.308192842354396,-217.2710821570747,-93.7888198757764,0.88764,0.9051614875600248,0.8701185124399751,0.0350429751200498,-0.1429248636229348,0.00665
2002-01-29,0.86191,0.86571,0.85921,0.86571,0,0.0044088129851145,0.0043991226406502,0.0032,0.86171,0.009,0.86261,0.8770431457126884,0.8825179912726836,0.8882801542321015,0.8910800352573126,0.8930261328363562,-0.0057273012576184,-0.0031212532674559,-0.0026060479901624,34.737898001623684,4.037267080745346,41.20082815734962,18.81188118811913,12.335958005249145,10.536120873089668,-254.15254779106263,-87.66404199475085,0.8865149999999999,0.9074638072766948,0.865566192723305,0.0418976145533898,-0.0872649376886607,0.0069
2002-01-30,0.86571,0.86721,0.85991,0.86131,0,-0.0050825334118815,-0.0050954934165773,-0.0038,0.86246,0.0064999999999999,0.863135,0.8749825737649268,0.8809172301990947,0.8873950501445681,0.8905776583215242,0.8927543305195765,-0.0063286120310468,-0.0037627250201741,-0.0025658870108727,39.34192289615963,4.14012738853504,40.339702760084656,25.4789272030654,22.427440633245297,13.658192920906016,-193.9412832188476,-77.5725593667547,0.885145,0.90779271627851,0.8624972837214898,0.0452954325570202,0.0709280405803791,0.0067285714285714
2002-01-31,0.86131,0.86441,0.85761,0.85851,0,-0.0032508620589567,-0.0032561575908301,0.0043999999999999,0.86356,0.0073,0.8635349999999999,0.8724966512622128,0.879049874942038,0.8863721070016439,0.8899981007309989,0.8924414516089341,-0.0070786006765414,-0.0044259001514475,-0.0026527005250938,43.91630731543932,5.5271238485159255,38.89457523029654,23.581560283688248,10.817941952506596,15.193780197000343,-169.73716278606705,-89.18205804749341,0.883015,0.9062375366944831,0.8597924633055167,0.0464450733889665,0.0326737925845068,0.0069785714285714
2002-02-01,0.85851,0.86411,0.85631,0.86141,0,0.0033779455102445,0.0033722530678807,0.0028,0.86101,0.0068,0.8604599999999999,0.8699536237599922,0.8770936963761297,0.8852794753545207,0.8893745739838504,0.8921038252247656,-0.0078088926275525,-0.0051024986466685,-0.0027063939808839,48.50863236997335,5.325443786982305,39.25049309664668,20.45060658578882,3.430079155672745,12.225153913808212,-161.239249661182,-96.56992084432726,0.881005,0.9054352207155568,0.8565747792844431,0.0488604414311137,0.0396071066669595,0.0072428571428571
2002-02-04,0.86141,0.87081,0.86051,0.87041,0,0.0104479864408353,0.0103937834450518,-0.0029,0.86021,0.0078,0.8600850000000001,0.8684002376218117,0.8756000110069744,0.8843434174974806,0.8888208200435761,0.8917984140284994,-0.0080607294253242,-0.0056941448023997,-0.0023665846229245,53.85231424426745,2.8490028490029493,39.03133903133874,21.672354948805705,13.315926892950374,9.187982667043238,-132.22958441302558,-86.68407310704963,0.87934,0.9043690862377162,0.8543109137622839,0.0500581724754323,0.1418167281516373,0.0075214285714285
2002-02-05,0.87041,0.87301,0.86511,0.86721,0,-0.003676428349858,-0.0036832030220588,-0.009,0.86566,0.0102999999999999,0.865785,0.8687656489633004,0.8751057242444054,0.8837970089681677,0.888456249349644,0.8915855939884149,-0.0074482285754264,-0.006044961557005,-0.0014032670184214,56.474424348391935,9.408341416100898,31.037827352085117,39.099099099099206,43.25153374233135,19.99917993031816,-72.79832274069543,-56.74846625766866,0.87819,0.9026030767374734,0.8537769232625266,0.0488261534749467,0.3406591663217539,0.0073642857142857
